CODE_ID	NAME
303	Mike Figgis
304	Anthony Minghella
305	Michael Mann
306	James Robinson
307	John Landis
308	Alan Parker
309	Peter Askin
310	Douglas McGrath
311	Richard Fleischer
312	Peter MacDonald
313	George Clooney
314	Jordan Brady
315	James Foley
316	Richard Donner
317	Francis Lawrence
318	Robert Zemeckis
319	Jonathan Baker
320	Tim Hunter
321	Jon Amiel
322	Pascal Morelli
323	Edward Zwick
324	David McNally
325	Andrzej Bartkowiak
326	Michael Dinner
327	Michael Apted
328	Peter Faiman
329	Simon Wincer
330	Harry O'Reilly
331	Tamra Davis
332	Vincenzo Natali
333	Andrzej Sekula
334	Guy Manos
335	Angela Robinson
336	John N. Smith
337	Mark Steven Johnson
338	Jason Yee
339	Walter Salles
340	Zack Snyder
341	Tony Scott
342	Philip Noyce
343	Phillip Noyce
344	Paul Levine
345	Danny DeVito
346	Yossi Wein
347	Jovan Rancic
348	 Richard Roxburgh
349	Renny Harlin
350	Marco Brambilla
351	James Bruce
352	Michael Cimino
353	Sidney J. Furie
354	Mike Mitchell
355	Mike Mitchell (VI)
356	Joel Viertel
357	Bradford May
358	David Winkler
359	Jeremiah S Chechik
360	Gil Kenan
361	Sam Weisman
362	Norman Jewison
363	Emile Ardolino
364	Guy Ferland
365	David Caesar
366	Callie Khouri
367	Betty Thomas
368	Steve Carr
369	Steve Carr (III)
370	Rawson Marshall Thurber
371	Sidney Lumet
372	Neil Marshall
373	Lars von Trier
374	Harold Becker
375	Richard Kelly
376	John Ford
377	Gary Fleder
378	Heywood Gould
379	Bruce Beresford
380	Kuo-fu Chen
381	Chen Kuo-fu
382	Tom DiCillo
383	Fred Williamson
384	Chis Weitz
385	Peyton Reed
386	 Victor Fleming
387	Rouben Mamoulian
388	Robert Altman
389	Russell Mulcahy
390	Patrick Lussier
391	Justin Hardy
392	Keith Ingham
393	Craig Wilson
394	Daniel Sánchez Arévalo
395	Lawrence Kasdan
396	John Badham
397	Nick Gomez
398	Carroll Ballard
399	Troy Miller
400	Ben Sharpsteen
401	Clare Baren
402	Greg Pritikin
403	Courtney Solomon
404	Aitzpea Goenaga
405	Damien O'Donnell
406	Charles Walters
407	David J. Burke
408	Ellory Elkayem
409	Igor Šterk
410	Daniel Burman
411	Carlos Carrera
412	Howard Hawks
413	Rob Bowman
414	Jon Favreau
415	Susanne Bier
416	James Signorelli
417	Denis Sanders
418	Joel Zwick
419	Franziska Buch
420	Just Jaeckin
421	Francis Giacobetti
422	Francis Leroi
423	Iris Letans
424	Goran Markovic
425	Jean-Jacques Annaud
426	Vanessa Jopp
427	Robert Clouse
428	Phil Joanou
429	Kurt Wimmer
430	Charles Russell
431	Don Siegel
432	Jake Paltrow
433	Michel Gondry
434	Michael Clancy
435	Jeff Schaffer
436	Alec Berg
437	David Mandel (II)
438	Scotty Fox
439	Dennis Dugan
440	Ivan Reitman
441	John Boorman
442	Stuart Baird
443	Oliver Hirschbiegel
444	Christian Duguay
445	John Schlesinger
446	Stephan Elliott
447	Gilbert Cates
448	Nicholas Meyer
449	Ulu Grosbard
450	Kevin Reynolds
451	Gerard Krawczyk
452	Tim Story
453	Todd Haynes
454	Alan Smithee
455	Dennis Hopper
456	Bill Kroyer
457	John Hughes
458	Bobby Farrelly
459	Peter Farrelly
460	James Wong
461	Mani Ratnam
462	Hironobu Sakaguchi
463	Moto Sakakibara
464	Gus Van Sant
