2	0	1.50
107	0	4.00
28	0	3.50
132	0	2.00
176	0	3.00
322	0	2.00
310	0	5.00
357	0	1.00
56	0	1.00
455	0	5.00
567	0	1.50
499	0	1.00
558	0	2.00
715	0	3.50
1087	0	2.00
1411	0	1.00
889	0	3.00
7	0	5.00
1212	0	4.00
2336	0	2.00
3613	0	3.00
4015	0	4.00
4241	0	5.00
1228	0	2.00
4694	0	3.00
1337	0	3.00
5038	0	4.00
1765	0	1.00
5437	0	5.00
6611	0	1.00
11	1	3.50
23	1	3.50
69	1	1.00
44	1	3.00
720	1	4.00
809	1	3.50
923	1	5.00
950	1	1.00
920	1	3.00
463	1	1.00
1750	1	5.00
1982	1	5.00
1212	1	2.00
3088	1	3.00
2586	1	1.00
1190	1	3.00
688	1	3.00
994	1	4.00
5841	1	4.00
6017	1	5.00
2674	1	5.00
149	2	2.00
231	2	3.00
32	2	1.00
537	2	1.50
720	2	3.00
920	2	5.00
462	2	4.00
212	2	2.00
680	2	3.00
802	2	2.00
165	2	3.00
1600	2	2.00
1517	2	1.00
1750	2	5.00
1905	2	5.00
2062	2	4.00
1939	2	3.00
2188	2	4.00
2196	2	5.00
2263	2	5.00
2470	2	5.00
1458	2	5.00
2525	2	1.00
1306	2	5.00
2312	2	2.00
2989	2	5.00
3072	2	3.00
3049	2	4.00
3157	2	2.00
3035	2	4.00
3509	2	5.00
3540	2	3.00
2273	2	3.00
2326	2	3.00
3741	2	2.00
1768	2	3.00
2828	2	4.00
2322	2	2.00
3642	2	3.00
2988	2	2.00
1398	2	4.00
889	2	2.00
1700	2	4.00
1194	2	5.00
3285	2	4.00
4474	2	4.00
4660	2	5.00
4631	2	3.00
2265	2	5.00
1814	2	3.00
5086	2	5.00
1836	2	3.00
5038	2	4.00
5427	2	1.00
5597	2	5.00
5549	2	5.00
5672	2	5.00
5719	2	5.00
4435	2	3.00
6066	2	3.00
6280	2	5.00
6335	2	3.00
4233	2	3.00
6566	2	5.00
1144	2	3.00
1300	2	3.00
995	2	1.00
494	2	2.00
6899	2	1.00
6684	2	4.00
10	3	1.00
15	3	3.50
92	3	3.00
11	3	4.00
29	3	3.00
176	3	3.00
8	3	1.00
320	3	3.50
104	3	1.00
489	3	4.00
44	3	1.50
558	3	4.00
763	3	4.00
680	3	3.00
85	3	2.00
1306	3	5.00
1212	3	4.00
1640	3	4.00
2184	3	3.00
2191	3	3.00
1060	3	4.00
2338	3	5.00
1884	3	5.00
1297	3	3.00
2368	3	3.00
3051	3	3.00
1421	3	3.00
4048	3	4.00
2366	3	4.00
2631	3	5.00
3539	3	3.00
462	3	3.00
4019	3	3.00
4898	3	5.00
5398	3	1.00
5427	3	5.00
5476	3	5.00
5038	3	4.00
4003	3	4.00
5909	3	5.00
822	3	3.00
1096	3	4.00
5703	3	5.00
6585	3	5.00
6743	3	5.00
6934	3	5.00
10	4	1.00
29	4	4.00
176	4	2.50
104	4	1.00
23	4	4.00
681	4	2.00
558	4	4.00
32	4	1.00
601	4	2.50
73	4	5.00
680	4	4.00
440	4	5.00
1306	4	5.00
1545	4	5.00
1640	4	4.00
2191	4	2.00
